Unnamed: 0,French,English
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,mettre,to put
12,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
19,bébé,baby
20,longtemps,long time
22,vont,will
23,pendant,while
25,aucune,any
26,place,square
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,affaire,case
33,donner,give
34,leurs,their
35,donné,given
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
42,dont,whose
43,trouve,find
44,premier,first
45,perdu,lost
46,première,first
48,pouvoir,power
49,vieux,old
50,sois,be
53,tellement,so much
56,venu,came
57,suite,after
58,pardon,sorry
60,devant,in front of
62,minutes,minutes
63,chambre,bedroom
64,mis,placed
65,belle,beautiful
66,aimerais,would like to
69,enfin,finally
70,espère,hope
72,attendez,Wait
74,nouvelle,new
75,boulot,job
76,arrêter,Stop
77,dirait,would say
78,terre,Earth
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,aura,will have
86,filles,girls
87,jouer,to play
88,bureau,office
